Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
6,159009,6,6,340,11595,340,0,56.66666666666666,138.80441875771342,5792,0,1932.5,2181.008184303764,75058.6444792433,75.46742637209213,14455.363636363636,40585.84740096657,136154,1,159009,31801.8,64562.16762702442,146995,1,148410,29682.0,59742.68685789082,136157,47,1,1,0,0,1,0,200,200,37.73371318604607,37.73371318604607,0,5792,994.5833333333334,1769.3493646655609,3130597.174242424,1,2,1,2,11,0,0,0,1.0,994.5833333333334,56.66666666666666,1932.5,0,0,0,11595,4,39845360,0,28,0,966,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0,0,159009,DoS Hulk
6,5389260,9,6,20,11595,20,0,2.2222222222222223,6.666666666666667,4380,0,1932.5,2179.471839689607,2155.212403929296,2.7833134790305163,384947.1428571429,1378645.3772931688,5170885,1,5389260,673657.5,1818730.4383280275,5170885,1,213436,42687.2,94896.82086982684,212443,21,1,1,0,0,1,0,192,132,1.6699880874183095,1.1133253916122066,0,4380,774.3333333333334,1629.2930836350324,2654595.9523809524,1,2,1,2,14,0,0,0,0.6666666666666666,774.3333333333334,2.2222222222222223,1932.5,0,0,0,0,0,0,0,1,0,773,8192,229,1,20,218375.0,0.0,218375,218375,5170885.0,0.0,5170885,5170885,0,0,5389260,DDoS
6,27,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,74074.07407407407,27.0,0.0,27,27,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,40,20,37037.03703703704,37037.03703703704,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,0,0,27,Portscan
17,293,2,2,76,154,38,38,38.0,0.0,77,77,77.0,0.0,784982.9351535835,13651.8771331058,97.66666666666669,85.1606325324873,196,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,0,0,0,0,0,0,16,16,6825.938566552901,6825.938566552901,38,77,57.5,22.516660498395403,507.0,0,0,0,0,0,0,0,0,1.0,57.5,38.0,77.0,0,0,0,0,0,0,0,19,0,38,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,BENIGN
6,44,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,45454.545454545456,44.0,0.0,44,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,40,20,22727.272727272728,22727.272727272728,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,0,0,44,Portscan
6,108,2,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,37037.03703703704,36.0,22.538855339169288,50,10,50,50.0,0.0,50,50,48,48.0,0.0,48,48,0,0,0,0,0,2,48,40,18518.51851851852,18518.51851851852,0,0,0.0,0.0,0.0,0,2,2,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,0,0,108,Infiltration - Portscan
17,161547,2,2,68,164,34,34,34.0,0.0,82,82,82.0,0.0,1436.1145672776345,24.760595987545425,53849.0,93225.90575585735,161497,1,1,1.0,0.0,1,1,49,49.0,0.0,49,49,0,0,0,0,0,0,16,16,12.380297993772713,12.380297993772713,34,82,58.0,27.712812921102035,768.0,0,0,0,0,0,0,0,0,1.0,58.0,34.0,82.0,0,0,0,0,0,0,0,17,0,41,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,BENIGN
6,8888883,10,6,20,11595,20,0,2.0,6.324555320336759,5840,0,1932.5,2993.9367895799,1306.6883656810423,1.8000011925007902,592592.2,1856108.4789338224,7107772,3,8888883,987653.6666666666,2366136.773097289,7107772,3,1739795,347958.99999999994,770144.6221622924,1725599,135,1,1,0,0,1,0,212,132,1.1250007453129938,0.6750004471877963,0,5840,725.9375,1979.802362821434,3919617.3958333335,2,2,1,2,15,0,0,0,0.6,725.9375,2.0,1932.5,0,0,0,0,0,0,0,1,0,724,8192,229,1,20,1781111.0,0.0,1781111,1781111,7107772.0,0.0,7107772,7107772,0,0,8888883,DDoS
6,159008,6,5,333,11595,333,0,55.49999999999999,135.94668072446638,8688,0,2319.0,3774.237538894445,75015.09358019722,69.17890923727107,15900.8,42381.71745982511,135854,3,159008,31801.6,64034.87206436818,145991,3,148256,37064.0,66095.94193796368,135854,188,1,1,0,0,1,0,200,168,37.73395049305695,31.444958744214127,0,8688,1084.3636363636365,2665.4245542775084,7104488.054545455,1,2,1,2,10,0,0,0,0.8333333333333334,1084.3636363636365,55.5,2319.0,0,0,0,0,0,0,0,30,0,1054,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0,0,159008,DoS Hulk
6,176972,8,7,383,11595,383,0,47.87499999999999,135.41094859722386,5792,0,1656.4285714285716,2120.732252245504,67683.0233031214,84.75917094229597,12640.857142857143,35717.6831401632,135117,1,176972,25281.714285714286,54943.91833410466,148982,1,162930,27155.0,53312.340683935465,135117,45,1,1,0,0,3,0,228,232,45.20489116922451,39.55427977307145,0,5792,798.5333333333332,1620.6960086274512,2626655.552380952,2,2,3,2,11,0,0,0,0.875,798.5333333333333,47.875,1656.428571428571,0,0,0,11595,4,39845360,0,25,0,773,29200,235,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0,0,176972,DoS Hulk
